variable;unit;min;max;definition
Primary Energy|Other;EJ/yr;0;;primary energy consumption from sources that do not fit to any other category (direct equivalent, please provide a definition of the sources in this category in the 'comments' tab)
Primary Energy|Solar;EJ/yr;0;;total solar primary energy consumption
Primary Energy|Wind;EJ/yr;0;;total wind primary energy consumption
Primary Energy|Biomass|1st Generation;EJ/yr;0;;biomass primary energy from 1st generation biofuel crops (e.g., sugar cane, rapeseed oil, maize, sugar beet)
Primary Energy|Biomass|Energy Crops;EJ/yr;0;;biomass primary energy from purpose-grown bioenergy crops
Primary Energy|Biomass|Residues;EJ/yr;0;;biomass primary energy from residues
Primary Energy|Non-Biomass Renewables;EJ/yr;0;;non-biomass renewable primary energy consumption (direct equivalent, includes hydro electricity, wind electricity, geothermal electricity and heat, solar electricity and heat and hydrogen, ocean energy)
Primary Energy|Ocean;EJ/yr;0;;total ocean primary energy consumption
Primary Energy|Secondary Energy Trade;EJ/yr;0;;trade in secondary energy carriers that cannot be unambiguoulsy mapped to one of the existing primary energy categories (e.g. electricity, hydrogen, fossil synfuels, negative means net exports)
Secondary Energy|Electricity;EJ/yr;0;;total net electricity production
Secondary Energy|Electricity|Biomass;EJ/yr;0;;net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste, biogas
Secondary Energy|Electricity|Biomass|w/ CCS;EJ/yr;0;;net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with a CO2 capture component
Secondary Energy|Electricity|Biomass|w/o CCS;EJ/yr;0;;net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with freely vented CO2 emissions
Secondary Energy|Electricity|Coal;EJ/yr;0;;net electricity production from coal
Secondary Energy|Electricity|Coal|w/ CCS;EJ/yr;0;;net electricity production from coal with a CO2 capture component
Secondary Energy|Electricity|Coal|w/o CCS;EJ/yr;0;;net electricity production from coal with freely vented CO2 emissions
Secondary Energy|Electricity|Fossil;EJ/yr;0;;net electricity production from coal, gas, conventional and unconventional oil
Secondary Energy|Electricity|Fossil|w/ CCS;EJ/yr;0;;net electricity production from coal, gas, conventional and unconventional oil used in combination with CCS
Secondary Energy|Electricity|Fossil|w/o CCS;EJ/yr;0;;net electricity production from coal, gas, conventional and unconventional oil without CCS
Secondary Energy|Electricity|Gas;EJ/yr;0;;net electricity production from natural gas
Secondary Energy|Electricity|Gas|w/ CCS;EJ/yr;0;;net electricity production from natural gas with a CO2 capture component
Secondary Energy|Electricity|Gas|w/o CCS;EJ/yr;0;;net electricity production from natural gas with freely vented CO2 emissions
Secondary Energy|Electricity|Geothermal;EJ/yr;0;;net electricity production from all sources of geothermal energy (e.g., hydrothermal, enhanced geothermal systems)
Secondary Energy|Electricity|Hydro;EJ/yr;0;;net hydroelectric production
Secondary Energy|Electricity|Non-Biomass Renewables;EJ/yr;0;;net electricity production from hydro, wind, solar, geothermal, ocean, and other renewable sources (excluding bioenergy). This is a summary category for all the non-biomass renewables.
Secondary Energy|Electricity|Nuclear;EJ/yr;0;;net electricity production from nuclear energy
Secondary Energy|Electricity|Oil;EJ/yr;0;;net electricity production from refined liquid oil products
Secondary Energy|Electricity|Oil|w/ CCS;EJ/yr;0;;net electricity production from refined liquids with a CO2 capture component
Secondary Energy|Electricity|Oil|w/o CCS;EJ/yr;0;;net electricity production from refined liquids with freely vented CO2 emissions
Secondary Energy|Electricity|Solar;EJ/yr;0;;net electricity production from all sources of solar energy (e.g., PV and concentrating solar power)
Secondary Energy|Electricity|Solar|CSP;EJ/yr;0;;net electricity production from concentrating solar power (CSP)
Secondary Energy|Electricity|Solar|PV;EJ/yr;0;;net electricity production from solar photovoltaics (PV)
Secondary Energy|Electricity|Wind;EJ/yr;0;;net electricity production from wind energy (on- and offshore)
Secondary Energy|Electricity|Wind|Offshore;EJ/yr;0;;net electricity production from offshore wind energy
Secondary Energy|Electricity|Wind|Onshore;EJ/yr;0;;net electricity production from onshore wind energy
Secondary Energy|Gases;EJ/yr;0;;total production of gaseous fuels, including natural gas
Secondary Energy|Heat;EJ/yr;0;;total centralized heat generation
Secondary Energy|Hydrogen;EJ/yr;0;;total hydrogen production
Secondary Energy|Liquids;EJ/yr;0;;total production of refined liquid fuels from all energy sources (incl. oil products, synthetic fossil fuels from gas and coal, biofuels)
Secondary Energy;EJ/yr;0;;total secondary energy - the sum of all secondary energy carrier production (for consistency checks)
Secondary Energy|Electricity|Curtailment;EJ/yr;0;;curtailment of electricity production due to oversupply from variable renewable sources (typically from wind and solar)
Secondary Energy|Electricity|Ocean;EJ/yr;0;;net electricity production from all sources of ocean energy (e.g., tidal, wave, ocean thermal electricity generation)
Secondary Energy|Electricity|Other;EJ/yr;0;;net electricity production from sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Secondary Energy|Electricity|Storage Losses;EJ/yr;0;;losses from electricity storage
Secondary Energy|Electricity|Transmission Losses;EJ/yr;0;;electricity losses from long-range high-voltage transmission
Secondary Energy|Gases|Biomass;EJ/yr;0;;total production of biogas
Secondary Energy|Gases|Coal;EJ/yr;0;;total production of coal gas from coal gasification
Secondary Energy|Gases|Natural Gas;EJ/yr;0;;total production of natural gas
Secondary Energy|Gases|Other;EJ/yr;0;;total production of gases from sources that do not fit any other category
Secondary Energy|Heat|Biomass;EJ/yr;0;;centralized heat generation from biomass
Secondary Energy|Heat|Coal;EJ/yr;0;;centralized heat generation from coal
Secondary Energy|Heat|Gas;EJ/yr;0;;centralized heat generation from gases
Secondary Energy|Heat|Geothermal;EJ/yr;0;;centralized heat generation from geothermal energy EXCLUDING geothermal heat pumps
Secondary Energy|Heat|Nuclear;EJ/yr;0;;centralized heat generation from nuclear energy
Secondary Energy|Heat|Oil;EJ/yr;0;;centralized heat generation from oil products
Secondary Energy|Heat|Other;EJ/yr;0;;centralized heat generation from sources that do not fit any other category (please provide a definition of the sources in this category in the 'comments' tab)
Secondary Energy|Heat|Solar;EJ/yr;0;;centralized heat generation from solar energy
Secondary Energy|Hydrogen|Biomass;EJ/yr;0;;hydrogen production from biomass
Secondary Energy|Hydrogen|Biomass|w/ CCS;EJ/yr;0;;hydrogen production from biomass with a CO2 capture component
Secondary Energy|Hydrogen|Biomass|w/o CCS;EJ/yr;0;;hydrogen production from biomass with freely vented CO2 emissions
Secondary Energy|Hydrogen|Coal;EJ/yr;0;;hydrogen production from coal
Secondary Energy|Hydrogen|Coal|w/ CCS;EJ/yr;0;;hydrogen production from coal with a CO2 capture component
Secondary Energy|Hydrogen|Coal|w/o CCS;EJ/yr;0;;hydrogen production from coal with freely vented CO2 emissions
Secondary Energy|Hydrogen|Electricity;EJ/yr;0;;hydrogen production from electricity via electrolysis
Secondary Energy|Hydrogen|Fossil;EJ/yr;0;;hydrogen production from fossil fuels
Secondary Energy|Hydrogen|Fossil|w/ CCS;EJ/yr;0;;hydrogen production from fossil fuels with a CO2 capture component
Secondary Energy|Hydrogen|Fossil|w/o CCS;EJ/yr;0;;hydrogen production from fossil fuels with freely vented CO2 emissions
Secondary Energy|Hydrogen|Gas;EJ/yr;0;;hydrogen production from gas
Secondary Energy|Hydrogen|Gas|w/ CCS;EJ/yr;0;;hydrogen production from natural gas with a CO2 capture component
Secondary Energy|Hydrogen|Gas|w/o CCS;EJ/yr;0;;hydrogen production from natural gas with freely vented CO2 emissions
Secondary Energy|Hydrogen|Nuclear;EJ/yr;0;;total hydrogen production from nuclear energy (e.g. thermochemical water splitting with nucelar heat)
Secondary Energy|Hydrogen|Oil;EJ/yr;0;;hydrogen production from oil
Secondary Energy|Hydrogen|Other;EJ/yr;0;;hydrogen production from other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Secondary Energy|Hydrogen|Solar;EJ/yr;0;;total hydrogen production from solar energy (e.g. thermalchemical water splitting with solar heat)
Secondary Energy|Liquids|Biomass;EJ/yr;0;;total liquid biofuels production
Secondary Energy|Liquids|Biomass|1st Generation;EJ/yr;0;;liquid biofuels production from 1st generation technologies, relying on e.g. corn, sugar, oil
Secondary Energy|Liquids|Biomass|Energy Crops;EJ/yr;0;;liquid biofuels production from energy crops
Secondary Energy|Liquids|Biomass|Other;EJ/yr;0;;biofuel production from biomass that does not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Secondary Energy|Liquids|Biomass|Residues;EJ/yr;0;;liquid biofuels production from residues (forest and agriculture)
Secondary Energy|Liquids|Biomass|w/ CCS;EJ/yr;0;;total production of liquid biofuels from facilities with CCS
Secondary Energy|Liquids|Biomass|w/o CCS;EJ/yr;0;;total production of liquid biofuels from facilities without CCS
Secondary Energy|Liquids|Coal;EJ/yr;0;;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies
Secondary Energy|Liquids|Coal|w/ CCS;EJ/yr;0;;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies with CCS
Secondary Energy|Liquids|Coal|w/o CCS;EJ/yr;0;;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies without CCS
Secondary Energy|Liquids|Fossil;EJ/yr;0;;total production of fossil liquid synfuels
Secondary Energy|Liquids|Fossil|w/ CCS;EJ/yr;0;;total production of fossil liquid synfuels from facilities with CCS
Secondary Energy|Liquids|Fossil|w/o CCS;EJ/yr;0;;total production of fossil liquid synfuels from facilities without CCS
